patent_number,title,abstract,date_filed,date_granted
US12096730B2,"Method for controlling an internet of things hydroponic farm with growing zones 
       ","
     An internet of things (IoT) based hydroponic farm system is described. The hydroponic farm system includes a cloud server, a plurality of hydroponic farms, and a plurality of user computing stations. The cloud server includes a data distribution service domain that includes data distribution service middleware configured to use a real-time publish-subscribe protocol to wirelessly communicate hydroponic farm information. Each of the hydroponic farms is divided into a plurality of hydroponic plant growing zones that are configured to grow at least one species of plant. Each hydroponic plant growing zone includes a zone controller. A farm controller is assigned to each of the hydroponic farms. The plurality of user computing stations are subscribed to the data distribution service middleware and are configured to communicate, through the data distribution service domain, with the zone controller, the farm controller, a process controller, a production planning controller, and an enterprise resource planning controller. 
   
   ",,
US12288243B2,"Vehicle listing generation and optimization system 
       ","
     Disclosed herein are various embodiments for a vehicle listing generation and optimization system. An embodiment operates by receiving a request to generate a vehicle listing to sell a vehicle on a website. A plurality of vehicle listings similar to the vehicle to be sold are determined, the plurality of vehicle listings including a plurality of features providing information about a respective vehicle featured in the vehicle listing and a performance metric indicating an effectiveness of a respective listing. A first cluster of listings from the plurality of vehicle listings similar to the vehicle are identified based on based on performing artificial intelligence clustering with respect to the metric. Common features amongst a subset of the first cluster of listings are identified. A user interface of a sales template for selling the vehicle associated with the request via the website is generated, wherein the sales template includes the common identified features. 
   
   ",,
US12213192B2,"Determining whether an inactive relay WTRU may indeed serve a network-initiated connection at a remote served WTRU 
       ","
     Methods and corresponding apparatuses are provided herewith for determining whether a relay wireless transmit/receive unit, WTRU, may serve a network initiated connection at a remote WTRU based on the coverage status of the remote WTRU, on a Channel Busy Ratio, CBR, and on access control decision made by the network. The methods may comprise receiving an In-Coverage, IC, indication from the remote WTRU, indicating that the remote WTRU is IC of a suitable cell; receiving a paging message intended for a remote WTRU of a set of remote WTRUs handled by the relay WTRU; and on condition that the CBR is above a threshold, forwarding the paging message on Sidelink and indicating to the remote WTRU to trigger a Radio Resource Control, RRC, connection via Uu. 
   
   ",,
US12248911B2,"User interface component generation using service and/or duration information 
       ","
     Methods and systems for a payment processing service (PPS) to receive transaction data for transaction(s) processed by the PPS; generate training data based on the transaction data that comprises, for individual transactions, a service, an employee, and a duration; training a duration-identification model using the training data, wherein the duration-identification model outputs a duration for a particular service with a particular employee; receiving, from a computing device of a customer, a request for an appointment for the service; determining, based at least in part on the duration-identification model and the service, a duration of the service with the particular employee; based at least in part on the duration, determining a proposed appointment with the employee for the service; and causing presentation of a user interface of the computing device of the customer that includes an indication of the proposed appointment. A customer-specific model may also be used. 
   
   ",,
US12262127B2,"Perceiving scene features using event sensors and image sensors 
       ","
     Embodiments are directed to perceiving scene features using event sensors and image sensors. Paths may be scanned across objects in a scene with one or more beams. Images of the scene may be captured with frame cameras. Events may be generated based on detection of beam reflections that correspond to the objects. Trajectories may be based on the paths and the events. A distribution of intensity associated with the trajectories may be determined based on the energy associated with the traces in the images. Centroids for the trajectories may be determined based on the distribution of the intensity of energy, a resolution of the frame cameras, or timestamps associated with the events. Enhanced trajectories may be generated based on the centroids such that the enhanced trajectories may be provided to a modeling engine that executes actions based on the enhanced trajectories and the objects. 
   
   ",,
US12284249B2,"Methods and systems for registering a digital command in a multi-application network 
       ","
     This disclosure relates to methods for registering a command in a multi-application network. The methods include: determining a computing operation for the multi-application network; receiving a command associated with the computing operation for a digital request data object; encapsulating, in a registration object: first semantic or syntactic data associated with the first command, a digital path to a first application for executing the first computing operation, and context data associated with the first command; and storing, in a database, the first registration object. In addition, the methods include: receiving a first input; analyzing the first input to determine second semantic or syntactic data; determining the first command associated with the first computing operation; accessing the first registration object based on the determined first command; and accessing, based on the digital path of the first registration object, a first application for the first computing operation. 
   
   ",,
US12243138B2,"Virtual background synchronization 
       ","
     A virtual background associated with a first user of a virtual meeting is identified. In response to identifying the virtual background associated with the first user, a device associated with a second user of the virtual meeting is synchronized to use the virtual background during the virtual meeting. A composite video depicting the first user or the second user overlaid on the virtual background is generated for display on a device connected to the virtual meeting. 
   
   ",,
US12170705B2,"System and method for ingesting and presenting a video with associated linked products and metadata as a unified actionable shopping experience 
       ","
     A computer-implemented method for ingesting and presenting a video with associated linked products and metadata as a unified actionable shopping experience may include accessing a video file, receiving information about an object, the information including a link to a merchant portal or web page through which the object may be purchased, combining the video file and information about the object into a social media post, and delivering the social media post to consumers. 
   
   ",,
US12248375B2,"Resiliency of a data storage system by protecting its management database to meet a recovery point objective (RPO) 
       ","
     An illustrative data storage management system comprises a management database that stores administrative preferences and system configurations, as well as results and/or statistics of completed secondary storage operations, i.e., information needed by the system to protect customers' data and to track and recover the protected data, including secondary copies such as backup copies, archive copies, etc. The disclosed data storage management system is configured to protect its own system data subject to a very aggressive (short) Recovery Point Objective (RPO), by using an innovative infrastructure that enables the system's storage manager to fail over to any number of other failover destination storage managers, each one comprising a destination management database. An illustrative database granularly tracks whether each and every transaction log file has been successfully applied to each and every destination management database to synchronize with the source management database. 
   
   ",,
US12282585B2,"Controlling information privacy in a shared data storage management system 
       ","
     An illustrative data storage management system uses a control layer that controls information content presented to users and ensures information privacy between diverse tenants and/or resellers who share the system. The system populates a relationship database as transactions roll in (intake processing), and uses information in the relationship database later when processing responses (output processing). The relationship database comprises associations between e.g., a company ID and any number of entities that were created by or on behalf of the company or that are related to the company's service in the system. The control layer parses raw results that are responsive to requests for information and prevents others' information from being included in the responsive message(s). The techniques disclosed herein are not limited to shared systems managed by service providers, and may be implemented in fully owned and operated systems to add security and privacy among diverse users and/or departments. 
   
   ",,
US12292898B2,"Interactive interface for data analysis and report generation 
       ","
     Embodiments are directed to managing data visualizations. A primary visualization that is associated with a data model may be provided such that the primary visualization may be displayed in a display panel. Insight items may be generated based on the primary visualization and the data model such that the insight items may correspond to one or more visualizations that may share one or more portions of the data model and such that the insight items may be displayed in an insight panel. In response to an insight item being selected from the insight panel, additional actions may be performed, including: generating a visualization based on the insight item that is displayed in the display panel instead of the primary visualization; and generating a scratch item that includes a thumbnail view of the primary visualization such that the thumbnail view is displayed in a scratch panel. 
   
   ",,
US12238590B2,"Core network indication and security handling for handover 
       ","
     A method for a handover procedure comprises establishing a connection with a source network node of a first core network; receiving a radio resource control (RRC) message including an information element, wherein the information element indicates a second core network associated with a target network node; applying security parameters based on the second core network indicated in the information element; and performing a handover toward the target network node using the applied security parameters. The method provides an indication in RRC connection reconfiguration procedure to indicate the UE the core network of the target network node, so that the UE may recognize that this is an inter-system handover and apply corresponding security parameters for performing the handover without additional signaling. 
   
   ",,
US12272268B2,"Immersive ankle rehabilitation training method and electronic apparatus based on upper limb motion signals 
       ","
     This disclosure relates to an immersive ankle rehabilitation training method and electronic apparatus based on upper limb motion signals. The innovation of this technology lies in that: firstly, this disclosure proposes a hybrid model of Regression LSTM corrected by a sliding window based voting algorithm, which predicts the changing angle of the user's wrist joint through wearable EMG sensors; secondly, this disclosure designs and develops two different VR training scenes for users of dorsiflexion and plantar flexion of foot; during the training, users wear VR headwear displays and EMG monitoring devices, to continuously perform wrist dorsiflexion or wrist palm flexion movements, predict the change in wrist joint angles in real-time through forearm sEMG signals, and map it to the contralateral ankle of the avatar in the virtual scene for rotation. 
   
   ",,
US12271953B2,"System and method of using an image object as a visual data container 
       ","
     A method and system for associating information regarding an object with image objects is disclosed, wherein each image object is a visual data containers including an image associated with the object and data items relating to the object. A user may interact with a graphical user interface to create, modify, and associate image objects by means of the associated images. Information regarding the objects may be associated therewith by means of the image objects, and image objects may be associated with other image objects to generate associations between information regarding the underlying objects. Information regarding other image objects or the associated image may be used to determine information regarding the object, which may be associated with the image object. In some embodiments, associating two or more image objects may associate the underlying objects for purposes of insurance policies or may generate a new insurance policy based on the image objects. 
   
   ",,
US12289205B2,"Network and method for servicing a computation request 
       ","
     A framework for joint computation, caching, and request forwarding in data-centric computing-based networks comprises a virtual control plane, which operates on request counters for computations and data, and an actual plane, which handles computation requests, data requests, data objects and computation results in the physical network. A throughput optimal policy, implemented in the virtual plane, provides a basis for adaptive and distributed computation, caching, and request forwarding in the actual plane. The framework provides superior performance in terms of request satisfaction delay as compared with several baseline policies over multiple network topologies. 
   
   ",,
US12282880B2,"Connecting a supervisor device to a contact center engagement 
       ","
     A sentiment-based score is determined for a contact center engagement between a first contact center service operator and a contact center user. The sentiment-based score is indicated within a graphical user interface displaying information associated with multiple contact center engagements at a device of a second contact center service operator. Based on a request to participate in the contact center engagement received from the device of the second contact center service operator via the graphical user interface, information associated with the contact center engagement is transmitted to the device of the second contact center service operator, and a contact center session involving a device of the contact center user and the device of the second contact center service operator is established. 
   
   ",,
US12280613B2,"Crafting mat assembly, method for utilizing the same and packaging assembly 
       ","
     A crafting mat includes a container portion and a layered interior body portion. The container portion includes a top layer and a bottom layer connected to the top layer for defining a cavity. The layered interior body portion is disposed within the cavity. The layered interior body portion includes an upper layer, a lower layer and an intermediate layer disposed between the upper layer and the lower layer. A method for utilizing a crafting mat is also disclosed. A packaging assembly including packaging and a crafting mat is also disclosed. 
   
   ",,
US12126750B2,"Voice application network platform 
       ","
     A distributed voice applications system includes a voice application rendering agent and at least one voice applications agent that is configured to provide voice applications to an individual user. A management system may control and direct the voice applications rendering agent to create voice applications that are personalized for individual users based on user characteristics, information about the environment in which the voice applications will be performed, prior user interactions and other information. The voice applications agent and components of customized voice applications may be resident on a local user device which includes a voice browser and speech recognition capabilities. The local device, voice applications rendering agent and management system may be interconnected via a communications network. 
   
   ",,
US12293817B2,"Authenticating, establishing and tracking eligibility of a patient to purchase an over-the-counter drug 
       ","
     A method is provided for authenticating, and establishing and tracking eligibility of a patient to purchase an over-the-counter (OTC) drug from a retailer, the patient using a client device or terminal and the retailer having a server. The server is configured to redirect the client device or terminal to a backend platform to authenticate the patient, access a storage to search for any information that indicates the patient is ineligible to purchase the OTC drug; and without any information that indicates the patient is ineligible, administer a questionnaire to the patient to assess the eligibility for the OTC drug. And the backend platform redirects the client device or terminal back to the server to complete the online sale of the OTC drug to the patient when the patient is eligible, or cancel the online sale of the OTC drug to the patient when the patient is ineligible. 
   
   ",,
US12224066B2,"Deep learning models for region of interest determination 
       ","
     A method of determining a region of interest in an image of tissue of an individual by an apparatus including processing circuitry may include executing, by the processing circuitry, instructions that cause the apparatus to partition an image of tissue of an individual into a set of areas, identify a tissue type of each area of the image, and apply a classifier to the image to determine a region of interest, the classifier being configured to determine regions of interest based on the tissue types of the set of areas of the image. 
   
   ",,
US12238051B2,"Synchronous interfacing with unaffiliated networked systems to alter functionality of sets of electronic assets 
       ","
     Systems and methods for managing a set of electronic assets from a single location are disclosed. The method includes providing a portal with a network security access control. The method includes determining that login credentials input to the access control are associated with a set of electronic assets corresponding to a plurality of third-party computing systems with application programming interface (API) gateways configured to accept API calls directed to changes in functionality of the electronic assets. The method includes presenting, via the portal, a virtual icon to identify a coordinated action with respect to the set of electronic assets and, in response to a selection of the virtual icon, executing a set of API calls that include an asset-specific API call to each third-party computing system in the plurality of third-party computing systems to implement the coordinated action on all electronic assets in the set of electronic assets. 
   
   ",,
US12279187B2,"System and method for location-based content delivery and visualization 
       ","
     A system and method for providing location information on a social network, including: sending, to a social mapping system, a request for one or more social media posts, wherein the request includes screen attribute information about a display of a client device, geographic location information, and an identification of a requesting account of the social network; receiving, in response to the request, a suggested group for display by the client device; and displaying, by the client device, the suggested group. 
   
   ",,
US12289511B2,"Electronic device, photographing method, and photographing apparatus with slidable arc-shaped surfaces 
       ","
     An electronic device, a photographing method, and a photographing apparatus are provided. The electronic device includes a camera, a main body portion, a connecting rod, and a driving apparatus; a rear face of the camera is provided with a first arc-shaped surface that protrudes in a direction away from the camera, the main body portion is provided with a second arc-shaped surface that matches and is slidably connected to the first arc-shaped surface, and the second arc-shaped surface is provided with a through hole; the connecting rod penetrates through the through hole, and a first end of the connecting rod is hinged to the first arc-shaped surface of the camera; and the driving apparatus is connected to a second end of the connecting rod, and is used to drive the connecting rod to drive the first arc-shaped surface to slide relative to the second arc-shaped surface. 
   
   ",,
US12212284B2,"Saturation detection of power amplifiers 
       ","
     Apparatus and methods for saturation detection of power amplifiers are provided. In certain embodiments, a power amplifier system includes a carrier amplifier including a first capacitor and a first gain bipolar transistor having a base configured to receive a radio frequency signal through the first capacitor. The power amplifier system further includes a saturation detector including a resistor and a detection bipolar transistor that is located within 20 μm of the first gain bipolar transistor. The detection bipolar transistor has a base connected to the base of the first gain bipolar transistor through the resistor and a collector that generates a saturation detection current indicating a saturation of the first gain bipolar transistor. 
   
   ",,
US12287530B2,"Camera module and electronic device including the same 
       ","
     Provided is a camera module including a housing having an opening, and a first lens assembly configured to move in the housing between a first position in which the first lens assembly is entirely provided in the housing, and a second position in which a portion of the first lens assembly protrudes external to the housing through the opening of the housing, a portion of the first lens assembly being attached to the housing by a magnetic force at the second position. 
   
   ",,
US12256440B2,"Method and device for node for wireless communication 
       ","
     Provided are a method and a device applicable to a node for wireless communication. One example method includes: receiving first information, the first information comprises information indicating X physical random access channel (PRACH) occasions, wherein the X PRACH occasions are mapped to Q PRACH occasion groups, X is a positive integer greater than 1, and Q is a positive integer; and receiving second information, the second information comprises a plurality of candidate values, wherein the X PRACH occasions are mapped to the Q PRACH occasion groups based at least one of a priority of a candidate value associated with a respective PRACH occasion group or a quantity of PRACH occasion groups respectively corresponding to each candidate value of the plurality of candidate values. 
   
   ",,
US12207145B2,"Methods for relay measurements 
       ","
     As disclosed herein, there is one or more system, device, and/or method that addresses one or more of the following, but is not limited to: wireless transmit receive unit (WTRU)(s) configured to send sidelink radio link measurements to a base station (e.g., gNB); WTRU(s) configured to consider CBR/CR levels for starting performing measurements on neighbor links/cells; WTRU(s) configured to consider CBR/CR levels in conjunction with SL RSRP/RSRQ/RSNI thresholds for reporting measurements; WTRU(s) configured to report sidelink measurements in different ways depending on the measurements being performed using data or discovery signals; relay WTRU(s) configured to forward/report sidelink measurements to a gNB; handover commands in a relay scenario based on measurements at a remote WTRU. 
   
   ",,
US12282555B2,"Multi-dimensional malware analysis 
       ","
     There is disclosed a computer-implemented system and method of analyzing a batch of objects, including bucketizing the batch of objects into a plurality of buckets according to a feature of the objects; for objects within a batch, performing malware analysis on the objects to assign a malware analysis score, and adjusting the malware analysis score based on the batch; and performing respective security actions on the objects within the batch, based on the adjusted malware analysis score. 
   
   ",,
US12258218B2,"Taper convertible motorized conveyor rollers 
       ","
     Apparatuses, methods, and systems comprising reconfigurable motorized conveyor rollers are provided. The example reconfigurable motorized conveyor roller includes a housing with a first end and a second end opposite to the first end. The housing includes a plurality of curved plates that at least partially form a cylindrical tube. The reconfigurable motorized conveyor roller includes a motor assembly and a drive assembly at least partially disposed within the housing that are configured to cause rotation of at least a portion of the reconfigurable motorized conveyor roller. And, the reconfigurable motorized conveyor roller includes a housing adjustment assembly disposed within the housing that is operable to modify one or more dimensions of the housing. 
   
   ",,
US12207088B2,"Control device and control method 
       ","
     A control device comprising, a control section configured to control an authentication process of performing a process related to device authentication together with at least one communication device on a basis of information included in a signal received through wireless communication with the communication device, wherein the control section performs control in such a manner that a signal including authentication information that is information to be used for the authentication process is transmitted to the communication device through the wireless communication, the authentication information varying depending on signal types, which are types of roles of signals to be transmitted to the communication device in the authentication process. 
   
   ",,
US12185105B2,"Control device and control method 
       ","
     A control device controls an authentication process related to device authentication together with at least one communication device on a basis of information included in a signal received through wireless communication with the communication device. The control device performs the control in such a manner that authentication information is changed for each process group in which the authentication process is repeated more than once. Signals transmitted or received in the authentication process include a trigger signal, a request signal, and a response signal. The control device executes the process group in which the authentication process is repeated more than once for the trigger signal, the request signal, and the response signal, and changes the authentication information to be used for each of the trigger signal, the request signal, and the response signal each time the process group is executed. 
   
   ",,
US12301478B2,"Intelligent quarantine on switch fabric for physical and virtualized infrastructure 
       ","
     Systems, methods, and computer-readable media for performing threat remediation through a switch fabric of a virtualized network environment. Data traffic passing into a virtualized network environment including a plurality of virtual machines running on a switch fabric is monitored. A network threat introduced through at a least a portion of the data traffic is identified at the switch fabric. One or more remedial measures are performed in the network environment based on the identification of the network threat in the virtualized network environment. 
   
   ",,
US12184608B2,"Secure DNS using delegated credentials and keyless SSL 
       ","
     There is disclosed in an example a gateway device, including a hardware computing platform, and a secure domain name system (DNS) engine having circuitry and stored instructions to-program the circuitry, the secure DNS engine to communicatively couple to an endpoint via a local network, begin a secure DNS transaction with the endpoint, determine whether the endpoint supports delegated credentials, and after determining that the endpoint supports delegated credentials, establish a secure DNS session with the endpoint using a delegated credential. 
   
   ",,
US12284500B2,"Systems and methods for coordinated playback of analog and digital media content 
       ","
     Turntable control systems are disclosed. A playback device can include an analog audio source component such as a turntable. The playback device is configured to cause playback of first audio based on analog audio signals generated by the analog audio source component. Based on an indication that analog audio signals are no longer being generated, the playback device requests, via a network interface, audio content from one or more remote computing devices. The request can include identifying related content based on the first audio. The playback device receives, via the network interface, second audio content from, and causes playback of second audio based on the second audio content. 
   
   ",,
US12299115B2,"Computer-based systems configured for detecting and sandboxing external resources and methods of use thereof 
       ","
     To facilitate improved email and device security, embodiments of systems and methods include intercepting, by a processor associated with an entity, an internet request, where the internet request is produced by a link received in an email at a first computing device. The processor determines that the link is externally bound relative to an entity network. The processor determines an existence of a sandbox environment instance in a set of existing sandbox environment instances. The processor routes the link through the sandbox environment instance. The processor updates the sandbox log in the database based on the sandbox environment instance and the link. The processor causes to display on a screen of the first computing device a user interface for interacting with the link in the sandbox environment instance, and the processor logs activities associated with interacting with the link in a security log. 
   
   ",,
US12164592B2,"Methods and apparatus for recipe discovery and consumption logging 
       ","
     System and method for recipe discovery and consumption logging. Improved solutions enable intelligent management of a user's personal fitness journey i.e., based on their overall health in their exercise and dietary habits. In one exemplary embodiment, recipes may be curated and tagged from a variety of sources such as health and fitness blogs and/or other articles of interest. Recipe tagging ensures that users can retrieve only the specific recipes of interest to them from a variety of sources which may be focused on the public at large. Additionally, the recipe discovery and consumption logging interface may enable users to log actual consumption activity for a selected recipe, including ad hoc user modifications to recipe ingredients. 
   
   ",,
US12272068B2,"Predicting atrial fibrillation recurrence after pulmonary vein isolation using simulations of patient-specific magnetic resonance imaging models and machine learning 
       ","
     A device may receive images of a patient, and may perform segmentation of surfaces on the images to create a 3D model. The device may identify normal tissue regions and atrial fibrosis (AF) regions in the 3D model, and may divide the 3D model into the normal tissue regions and the AF regions. The device may assign first cell and tissue properties to the normal tissue regions, and may assign second cell and tissue properties to the AF regions. The device may perform simulations on the normal tissue regions and the AD regions, based on the first and second cell and tissue properties, to generate simulation results, and may extract first features from the simulation results. The device may extract second features from the images, and may process the first and second features, with a model, to select a feature that is predictive of atrial fibrillation recurrence. 
   
   ",,
US12302702B2,"Display panel and electronic apparatus including the same 
       ","
     Provided are a display panel and an electronic apparatus including the display panel. The display panel includes a substrate including a polymer resin; first and second pixel circuits each including a thin-film transistor, a first light-emitting diode connected to the first pixel circuit and located in a first display area; a second light-emitting diode connected to the second pixel circuit and located in a sub-display area of a second display area, a bottom metal layer in the second display area and between the substrate and the second pixel circuit; and a protective layer between the substrate and the bottom metal layer and corresponding to the first and second display areas, wherein the bottom metal layer includes a first opening in a transmissive area, and the protective layer includes a second opening in the transmissive area and overlapping the first opening of the bottom metal layer. 
   
   ",,
US12229698B2,"Methods, systems, apparatuses, and devices for facilitating managing budgets for cloud accounts 
       ","
     A method for facilitating managing budgets for cloud accounts. The method comprises obtaining real-time account information associated with a cloud account of a cloud platform, analyzing the real-time account information using a machine learning model which is configured for detecting a pattern, a trend, and an anomaly corresponding to a utilization of a cloud resource by the cloud account, determining a value of a parameter associated with the utilization of the cloud resource by the cloud account, determining an action required to be implemented for the cloud account based on the determining of the value of the parameter, generating a cloud account controlling command for implementing the action based on the determining of the action, transmitting the cloud account controlling command to a cloud service provider device associated with a cloud service provider, and storing the real-time account information. 
   
   ",,
US12289403B2,"Extensible quantum random number generation 
       ","
     Systems, apparatuses, methods, and computer program products are disclosed for securing communications between devices. An example method includes obtaining a quantum random number (QRN) from a remote QRN source using a secure communication channel between the initiating device and the remote QRN source. The QRN may be a true random number. The example method may also include using the QRN to participate in computer implemented services with the participating device that received the QRN from the remote QRN source. 
   
   ",,
US12174800B2,"Model object management and storage system 
       ","
     A model management system provides a centralized repository for storing and accessing models. The model management system receives an input to store a model object in a first model state generated based on a first set of known variables. The model management system generates a first file including a first set of functions defining the first model state and associates the first file with a model key identifying the model object. The model management system receives an input to store the model object in a second model state having been generated based on the first model state and a second set of known variables. The model management system generates a second file including a second set of functions defining the second model state and associates the second file with the model key. The model management system identifies available versions of the model object based on the model key. 
   
   ",,
US12293371B2,"Systems and methods for authentication based on personal network 
       ","
     A financial institution computing system includes a network circuit exchanging information over a network, a customer database storing financial information, and a transaction circuit. The transaction circuit receives a transaction request associated with a user computing device. The transaction request specifies a financial account. The transaction circuit receives payment card location information indicative of a location of a payment card with respect to the user computing device. The payment card location information indicates that the payment card is within a threshold distance of the user computing device. The transaction circuit authenticates the transaction request using the payment card location information and by determining whether the payment card is associated with an authorized user of the financial account. The transaction circuit authorizes the transaction request based on whether the transaction request is authenticated and transmits a confirmation to a transaction terminal over the network via the network circuit. 
   
   ",,
US12126682B2,"Methods, systems, apparatuses, and devices for facilitating managing cloud storage for operations 
       ","
     A method for facilitating managing cloud storage for operations includes obtaining account information associated with a cloud account, analyzing the account information using a machine learning model, obtaining storage data corresponding to categories from the account information based on the analyzing, determining a value for a parameter associated with a utilization of the cloud storage resource based on the storage data, determining an action required to be implemented for the cloud account based on the determining, generating a cloud account controlling command for implementing the action for the cloud account based on the action, transmitting the cloud account controlling command to a cloud platform device, and storing the account information. 
   
   ",,
US12299203B2,"Input device having integrated haptics and near field communication antenna 
       ","
     An input device is provided. The input device comprises a printed circuit board (PCB) assembly comprising: touch sensors configured to detect a user input from a user; a haptic coil configured to provide haptic feedback to the user in response to detecting the user input; and a near-field communication (NFC) antenna configured to facilitate NFC communications, wherein the haptic coil and the NFC antenna are on a same PCB of the PCB assembly. 
   
   ",,
US12183215B2,"Simulated reality technologies for enhanced medical protocol training 
       ","
     Introduced here are teaching system for realistically simulating medical situations in such a manner to test individuals as to the adequacy of their learning. A teaching system may include a manikin representative of a patient, an image projection mechanism, a simulation mechanism, a headpiece, a pair of hand coverings, a controller, a performance review mechanism, a recording device, a scenario generation mechanism, or any combination thereof. The teaching system can improve upon conventional simulation in several respects. First, the script corresponding to a simulation session may be dynamically traversed to mimic the unpredictability of an actual medical situation. Second, the action(s) of an individual may be actively monitored to discover whether her behavior complied with the relevant protocol(s). 
   
   ",,
US12277993B2,"Page buffer circuits in three-dimensional memory devices 
       ","
     A page buffer circuit of a memory device includes a first sensing branch including a first pre-charge path and a low-voltage latch, and a second sensing branch including a second pre-charge path and a sensing latch. The first sensing branch and the second sensing branch are parallel coupled to a sensing node of the page buffer circuit. 
   
   ",,
US12229028B2,"Memory device with failed main bank repair using redundant bank 
       ","
     In certain aspects, a memory device includes an array of memory cells, an input/output (I/O) circuit, and I/O control logic coupled to the I/O circuit. The array of memory cells includes P groups of banks. Each group of banks includes N main banks and M redundant banks, where each of P, N and M is a positive integer, and N is greater than M. The I/O circuit is coupled to the P groups of banks and configured to direct P×N pieces of data to or from P×N working banks, respectively. One of the M redundant banks is coupled with at least two main banks of the N main banks through the I/O circuit. The I/O control logic is configured to in responding to K main banks of the P groups of banks failed, determine the P×N working banks including K redundant banks of P×M redundant banks, where K is a positive integer not greater than P, and control the I/O circuit to direct P×N pieces of data to or from the P×N working banks, respectively. 
   
   ",,
US12288029B2,"Systems and methods for flexible regularized distillation of natural language processing models to facilitate interpretation 
       ","
     Systems, apparatuses, methods, and computer program products are disclosed for distillation of a natural language processing model. An example method includes receiving, by communications circuitry, a set of text data comprising a set of observations and predicting, by processing circuitry and using the NLP model, classifications for each observation in the text data. The example method further includes generating, by model training engine, a balanced sampled data structure based on the predicted classifications for each observation in the text data and training, by the model training engine, a surrogate model using the balanced sampled data structure. The example method further includes identifying, by an interpreter and from the surrogate model, a set of most-influential tokens in the text data. 
   
   ",,
US12250892B2,"Display material 
       ","
     Provided herein is a phase change material for use in a display device. Also provided is a display device comprising a phase change material; the use of a phase change material as an optical absorber in a display device; a method of fabricating a pixel; and a method of fabricating a display device. The phase change material is as described in more detail herein. 
   
   ",,
US12223201B2,"Hierarchical network for stacked memory system 
       ","
     A hierarchical network enables access for a stacked memory system including or more memory dies that each include multiple memory tiles. The processor die includes multiple processing tiles that are stacked with the one or more memory die. The memory tiles that are vertically aligned with a processing tile are directly coupled to the processing tile and comprise the local memory block for the processing tile. The hierarchical network provides access paths for each processing tile to access the processing tile's local memory block, the local memory block coupled to a different processing tile within the same processing die, memory tiles in a different die stack, and memory tiles in a different device. The ratio of memory bandwidth (byte) to floating-point operation (B:F) may improve 50× for accessing the local memory block compared with conventional memory. Additionally, the energy consumed to transfer each bit may be reduced by 10×. 
   
   ",,
US12293194B2,"Determining expected hash-values in functions with control flow 
       ","
     This document describes techniques and apparatuses that enable determining expected hash-values in functions with control flow. A computing device receives a function comprising function instructions within at least three basic blocks connected via multiple execution paths. Hash-input instructions are inserted within a plurality of the basic blocks that indirectly force hash values at the respective insertion points. Hash values at ends of the plurality of the basic blocks are set to a canonical value and an expected hash-value and hash input-values are calculated using a hash function. By using the canonical value and the hash input-values, the expected hash-value is the same regardless of which execution path is executed. 
   
   ",,
